date,PENN,KHC,FANG,CHTR,NCLH,CCL,RCL
2017-08-15,1984320000.0,106603460000.0,8661168000.0,102614340000.0,13165084414.65,49883460000.0,26267176000.0
2017-08-16,2003976000.0,106222000000.0,8665104000.0,103401240000.0,13268205180.3,49999620000.0,26161434000.0
2017-08-17,1949688000.0,104515080000.0,8472240000.0,101486880000.0,12874054698.26,49012260000.0,25727676000.0
2017-08-18,1907568000.0,103753720000.0,8586384000.0,101386260000.0,12782391795.46,48975960000.0,25639198000.0
2017-08-21,1901016000.0,103827400000.0,8568672000.0,102284100000.0,12800724376.02,49731000000.0,25893842000.0
2017-08-22,1965600000.0,104441400000.0,8603112000.0,102438900000.0,13039047923.3,49578540000.0,26113958000.0
2017-08-23,1939392000.0,104073000000.0,8743824000.0,100705140000.0,13096337237.55,49164720000.0,26029796000.0
2017-08-24,1956240000.0,101678400000.0,8769408000.0,100421340000.0,13229248446.61,49498680000.0,26012532000.0
2017-08-25,1961856000.0,101432800000.0,8732016000.0,100307820000.0,13226956874.04,49491420000.0,25990952000.0
2017-08-28,1960920000.0,100867920000.0,8662152000.0,100421340000.0,13263622035.16,49767300000.0,26060008000.0
2017-08-29,1978704000.0,100008320000.0,8675928000.0,100315560000.0,13208624293.48,49447860000.0,25967214000.0
2017-08-30,2002104000.0,100610040000.0,8705448000.0,101489460000.0,13341535502.54,49760040000.0,26247754000.0
2017-08-31,2076984000.0,99161000000.0,8933736000.0,102823320000.0,13625690501.22,50442480000.0,26858468000.0
2017-09-01,2097576000.0,99283800000.0,9044928000.0,101259840000.0,13414865824.78,50188380000.0,26810992000.0
2017-09-05,2119104000.0,99652200000.0,9027216000.0,101476560000.0,12990924899.33,48620220000.0,25688832000.0
2017-09-06,2106000000.0,99873240000.0,9117744000.0,103845000000.0,13089462519.84,48612960000.0,25641356000.0
2017-09-07,2138760000.0,100032880000.0,9015408000.0,102075120000.0,12800724376.02,47669160000.0,25365132000.0
2017-09-08,2114424000.0,100352160000.0,8747760000.0,101368200000.0,12631148005.84,47603820000.0,25345710000.0
2017-09-11,2115360000.0,101371400000.0,8801880000.0,98300580000.0,12981758609.05,49113900000.0,26260702000.0
2017-09-12,2115360000.0,100917040000.0,8896344000.0,98445060000.0,13107795100.4,49498680000.0,26254228000.0
2017-09-13,2108808000.0,100585480000.0,9199416000.0,99363540000.0,13242997882.03,49672920000.0,26368602000.0
2017-09-14,2108808000.0,99811840000.0,9230904000.0,97008000000.0,13226956874.04,49905240000.0,26662090000.0
2017-09-15,2107872000.0,99996040000.0,9246648000.0,95323260000.0,13002382762.18,47872440000.0,26094536000.0
2017-09-18,2137824000.0,99959200000.0,9362760000.0,94987860000.0,12913011431.95,47327940000.0,25637040000.0
2017-09-19,2134080000.0,99259240000.0,9277152000.0,93917160000.0,12709061473.22,47349720000.0,25576616000.0
2017-09-20,2133144000.0,98080360000.0,9576288000.0,94688580000.0,12456988490.52,46812480000.0,24933532000.0
2017-09-21,2111616000.0,97024280000.0,9580224000.0,93158640000.0,12466154780.8,46790700000.0,25073802000.0
2017-09-22,2106000000.0,95194560000.0,9420816000.0,92957400000.0,12379075023.14,46703580000.0,24879582000.0
2017-09-25,2102256000.0,96299760000.0,9523152000.0,92255640000.0,12282828975.2,46101000000.0,24575304000.0
2017-09-26,2140632000.0,96508520000.0,9559560000.0,92632320000.0,12578441836.73,47422320000.0,25289602000.0
2017-09-27,2149992000.0,96066440000.0,9532992000.0,93615300000.0,12106377887.31,46231680000.0,24976692000.0
2017-09-28,2172456000.0,95747160000.0,9558576000.0,93125100000.0,12294286838.05,46732620000.0,25509718000.0
2017-09-29,2189304000.0,95231400000.0,9639264000.0,93762360000.0,12385949740.85,46877820000.0,25580932000.0
2017-10-02,2181816000.0,95599800000.0,9840000000.0,93940380000.0,12470737925.94,46776180000.0,25706096000.0
2017-10-03,2181816000.0,95562960000.0,9847872000.0,95333580000.0,12541776675.61,46536600000.0,25680200000.0
2017-10-04,2144376000.0,95501560000.0,9913800000.0,95741220000.0,12828223246.86,47327940000.0,26256386000.0
2017-10-05,2251080000.0,96091000000.0,9815400000.0,95387760000.0,13385075381.37,47850660000.0,26685828000.0
2017-10-06,2246400000.0,96005040000.0,9750456000.0,94789200000.0,13483613001.88,47647380000.0,26627562000.0
2017-10-09,2215512000.0,94961240000.0,9834096000.0,94440900000.0,13495070864.73,48242700000.0,26873574000.0
2017-10-10,2204280000.0,95955920000.0,9914784000.0,94149360000.0,13556943324.12,48700080000.0,26931840000.0
2017-10-11,2218320000.0,96017320000.0,9989568000.0,94200960000.0,13474446711.6,48787200000.0,26977158000.0
2017-10-12,2211768000.0,95968200000.0,9950208000.0,91773180000.0,13488196147.02,48540360000.0,26975000000.0
2017-10-13,2219256000.0,95464720000.0,9974808000.0,92209200000.0,13460697276.18,49324440000.0,27572766000.0
2017-10-16,2208024000.0,95354200000.0,10095840000.0,93550800000.0,13501945582.44,49064560000.0,27490762000.0
2017-10-17,2243592000.0,95219120000.0,10096824000.0,92322720000.0,13430906832.77,48985470000.0,27454076000.0
2017-10-18,2358720000.0,94678800000.0,10055496000.0,90834060000.0,13169667559.79,48503740000.0,26949104000.0
2017-10-19,2332512000.0,93905160000.0,9996456000.0,90730860000.0,12413448611.69,47303010000.0,26137696000.0
2017-10-20,2352168000.0,94199880000.0,10088952000.0,90496080000.0,12312619418.61,47367720000.0,26049218000.0
2017-10-23,2340936000.0,94629680000.0,9874440000.0,89028060000.0,12310327846.04,47525900000.0,26271492000.0
2017-10-24,2355912000.0,94826160000.0,9807528000.0,87787080000.0,12525735667.62,47755980000.0,26413920000.0
2017-10-25,2374632000.0,94961240000.0,9927576000.0,88986780000.0,12555526111.03,47338960000.0,26172224000.0
2017-10-26,2308176000.0,94924400000.0,9926592000.0,81602820000.0,12585316554.44,47885400000.0,26556348000.0
2017-10-27,2386800000.0,94924400000.0,10289688000.0,82498080000.0,12750309779.48,48323990000.0,26804518000.0
2017-10-30,2383056000.0,92431560000.0,10450080000.0,83586840000.0,12557817683.6,47468380000.0,26325442000.0
2017-10-31,2442024000.0,94961240000.0,10544544000.0,86215860000.0,12775517077.75,47734410000.0,26709566000.0
2017-11-01,2440152000.0,95415600000.0,10802352000.0,87260760000.0,12420323329.4,46425830000.0,26081588000.0
2017-11-02,2435472000.0,95820840000.0,10722648000.0,87116280000.0,12583024981.87,46878800000.0,26562822000.0
2017-11-03,2439216000.0,95784000000.0,10937160000.0,86540940000.0,12610523852.71,47044170000.0,26582244000.0
2017-11-06,2489760000.0,94556000000.0,11187096000.0,89887200000.0,12663230021.82,47216730000.0,27048372000.0
2017-11-07,2494440000.0,96005040000.0,11001120000.0,88496580000.0,12686145747.52,47727220000.0,27887834000.0
2017-11-08,2519712000.0,97724240000.0,10827936000.0,87178200000.0,12731977198.92,47403670000.0,27820936000.0
2017-11-09,2535624000.0,97515480000.0,10925352000.0,88029600000.0,13036756350.73,47583420000.0,27335386000.0
2017-11-10,2515968000.0,97896160000.0,11007024000.0,87317520000.0,12656355304.11,46490540000.0,26806676000.0
2017-11-13,2541240000.0,98055800000.0,10919448000.0,88679760000.0,12665521594.39,47439620000.0,26862784000.0
2017-11-14,2542176000.0,97478640000.0,10653768000.0,86896980000.0,12626564860.7,47468380000.0,26653458000.0
2017-11-15,2444336000.0,96505500000.0,10715310000.0,92913160000.0,12547715250.02,47295820000.0,26354052000.0
2017-11-16,2476116000.0,97608000000.0,10706265000.0,94695140000.0,12297079935.42,47324580000.0,26412129000.0
2017-11-17,2467944000.0,97546750000.0,10807770000.0,94948120000.0,12495309684.24,47612180000.0,26758440000.0
